event,sex,athlete,nationality,date,time_raw,time_seconds,wind,auto_raw
100m,women,Myrtle Cook,Canada,1928-07-02,12.0,12.0,,
100m,women,Tollien Schuurman,Netherlands,1930-08-31,12.0,12.0,,
100m,women,Leni Junker,Germany,1931-08-01,12.0,12.0,,
100m,women,,Netherlands,1932-06-05,11.9,11.9,,
100m,women,Stanis?awa Walasiewicz[2],Poland,1932-08-01,11.9,11.9,,
100m,women,Hilda Strike,Canada,1932-08-02,11.9,11.9,,
100m,women,Stanis?awa Walasiewicz[2],Poland,1933-09-17,11.8,11.8,,
100m,women,Käthe Krauß,Germany,1934-08-11,11.9,11.9,,
100m,women,Stanis?awa Walasiewicz[2],Poland,1934-08-26,11.7,11.7,,
100m,women,Helen Stephens,United States,1935-04-10,11.9,11.9,,
100m,women,,United States,1935-06-01,11.8,11.8,,
100m,women,Helen Stephens,United States,1935-06-08,11.6,11.6,,
100m,women,Helen Stephens,United States,1936-08-10,11.5,11.5,,
100m,women,Stanis?awa Walasiewicz[2],Poland,1937-08-01,11.6,11.6,,
100m,women,Rowena Harrison,United States,1939-05-06,11.5,11.5,,
100m,women,Lulu Mae Hymes,United States,1939-05-06,11.5,11.5,,
100m,women,Fanny Blankers-Koen,Netherlands,1943-09-05,11.5,11.5,,
100m,women,Fanny Blankers-Koen,Netherlands,1948-06-13,11.5,11.5,,
100m,women,Marjorie Jackson,Australia,1952-07-22,11.5,11.5,1.7,11.65
100m,women,Marjorie Jackson,Australia,1952-10-04,11.4,11.4,1.7,
100m,women,Shirley Strickland,Australia,1955-08-04,11.3,11.3,1.4,
100m,women,Vera Krepkina,Soviet Union,1958-09-13,11.3,11.3,1.4,
100m,women,Wilma Rudolph,United States,1960-09-02,11.3,11.3,0.8,11.41
100m,women,Wilma Rudolph,United States,1961-07-19,11.2,11.2,0.7,
100m,women,Wyomia Tyus,United States,1964-10-15,11.2,11.2,0.2,11.23
100m,women,Ewa Klobukowska,Poland,1965-07-09,11.1,11.1,2.0,
100m,women,Irena Kirszenstein,Poland,1965-07-09,11.1,11.1,2.0,
100m,women,Wyomia Tyus,United States,1965-07-31,11.1,11.1,0.2,
100m,women,Barbara Ferrell,United States,1967-07-02,11.1,11.1,0.3,
100m,women,Wyomia Tyus,United States,1968-04-21,11.1,11.1,,
100m,women,Lyudmila Samotyosova,Soviet Union,1968-08-15,11.1,11.1,0.0,
100m,women,Margaret Bailes,United States,1968-08-18,11.1,11.1,,
100m,women,Irena Szewi?ska,Poland,1968-10-14,11.1,11.1,1.8,11.2
100m,women,Barbara Ferrell,United States,1968-10-14,11.1,11.1,,
100m,women,Wyomia Tyus,United States,1968-10-15,11.07,11.07,1.2,
100m,women,Renate Stecher (née Meißner),East Germany,1972-09-02,11.07,11.07,0.2,
100m,women,Inge Helten,West Germany,1976-06-13,11.04,11.04,0.6,
100m,women,Annegret Richter,West Germany,1976-07-25,11.01,11.01,0.6,
100m,women,Marlies Oelsner,East Germany,1977-07-01,10.88,10.88,2.0,
100m,women,Marlies Göhr,East Germany,1982-07-09,10.88,10.88,1.9,
100m,women,Marlies Göhr,East Germany,1983-06-08,10.81,10.81,1.7,
100m,women,Evelyn Ashford,United States,1983-07-03,10.79,10.79,0.6,
100m,women,Evelyn Ashford,United States,1984-08-22,10.76,10.76,1.7,
100m,women,Florence Griffith-Joyner,United States,1988-07-17,10.70,10.7,1.6,
100m,women,Florence Griffith-Joyner,United States,2021-07-31,10.61,10.61,1.2,
100m,women,Elaine Thompson-Herah,Jamaica,2021-07-31,10.61,10.61,,
100m,women,Elaine Thompson-Herah,Jamaica,2021-08-21,10.54,10.54,0.9,
